Species	Phylum	Host_class	Host_superorder	Common_name	Biota	Host_order	Host_suborder	Genome_type	Version
Homo_sapiens	Vertebrates	Mammals	Supraprimates	Human	Terrestrial	Primates	Catarrhini	complete	goldenpath_hg38
Pan_troglodytes	Vertebrates	Mammals	Supraprimates	Chimpanzee	Terrestrial	Primates	Catarrhini	complete	goldenpath_panTro4
Gorilla_gorilla	Vertebrates	Mammals	Supraprimates	Gorilla	Terrestrial	Primates	Catarrhini	complete	goldenpath_gorGor3
Pongo_abelii	Vertebrates	Mammals	Supraprimates	Orang tan	Terrestrial	Primates	Catarrhini	complete	goldenpath_ponAbe2
Nomascus_leucogenys	Vertebrates	Mammals	Supraprimates	White-cheeked gibbon	Terrestrial	Primates	Catarrhini	complete	ensembl_79_Nleu1.0
Macaca_mulatta	Vertebrates	Mammals	Supraprimates	Macaque	Terrestrial	Primates	Catarrhini	low_coverage	goldenpath_rheMac3
Papio_anubis	Vertebrates	Mammals	Supraprimates	Olive baboon	Terrestrial	Primates	Catarrhini	low_coverage	goldenpath_papAnu2
Chlorocebus_sabaeus	Vertebrates	Mammals	Supraprimates	Green monkey	Terrestrial	Primates	Catarrhini	complete	ensembl_79_ChlSab1.1
Cercocebus_atys	Vertebrates	Mammals	Supraprimates	Sooty mangabey	Terrestrial	Primates	Catarrhini	low_coverage	ncbi_100_2015
Colobus_angolensis_palliatus	Vertebrates	Mammals	Supraprimates	Angola colobus	Terrestrial	Primates	Catarrhini	low_coverage	ncbi_100_2015
Rhinopithecus_roxellana	Vertebrates	Mammals	Supraprimates	Golden snub-nosed monkey	Terrestrial	Primates	Catarrhini	low_coverage	ncbi_100_2014-11-18
Callithrix_jacchus	Vertebrates	Mammals	Supraprimates	Marmoset	Terrestrial	Primates	Platyrrhini	low_coverage	goldenpath_calJac3
Saimiri_boliviensis	Vertebrates	Mammals	Supraprimates	Black-capped squirrel monkey	Terrestrial	Primates	Platyrrhini	complete	goldenpath_saiBol1
Tarsius_syrichta	Vertebrates	Mammals	Supraprimates	Tarsier	Terrestrial	Primates	Strepsirrhini	complete	goldenpath_tarSyr1
Otolemur_garnettii	Vertebrates	Mammals	Supraprimates	Bushbaby	Terrestrial	Primates	Strepsirrhini	complete	goldenpath_otoGar3
Microcebus_murinus	Vertebrates	Mammals	Supraprimates	Grey mouse lemur	Terrestrial	Primates	Strepsirrhini	low_coverage	goldenpath_micMur1
Propithecus_coquereli	Vertebrates	Mammals	Supraprimates	Coquerels sifaka	Terrestrial	Primates	Strepsirrhini	low_coverage	Pcoq_1.0
Daubentonia_madagascariensis	Vertebrates	Mammals	Supraprimates	Aye-aye	Terrestrial	Primates	Strepsirrhini	low_coverage	broad_1.0_oct_2012
