Superfamily	State	Family	Genus	Name	Gene
Mononegavirales	Exogenous	Bornavirus	Bornavirus	ABV	M
Mononegavirales	Exogenous	Bornavirus	Bornavirus	ABV	N
Mononegavirales	Exogenous	Bornavirus	Bornavirus	ABV	P
Mononegavirales	Exogenous	Bornavirus	Bornavirus	ABV	X
Mononegavirales	Exogenous	Bornavirus	Bornavirus	BDV	G
Mononegavirales	Exogenous	Bornavirus	Bornavirus	BDV	L
Mononegavirales	Exogenous	Bornavirus	Bornavirus	BDV	M
Mononegavirales	Exogenous	Bornavirus	Bornavirus	BDV	N
Mononegavirales	Exogenous	Bornavirus	Bornavirus	BDV	P
Mononegavirales	Exogenous	Bornavirus	Bornavirus	BDV	X
Mononegavirales	Exogenous	Bornavirus	Bornavirus	RBV	P
ssDNA	Exogenous	Circovirus	Circovirus	Columbid_circovirus	Rep
ssDNA	Exogenous	Circovirus	Circovirus	CyCV1	Rep
ssDNA	Exogenous	Circovirus	Circovirus	HumSCV	Rep
ssDNA	Exogenous	Circovirus	Circovirus	PBFD	Rep
ssDNA	Exogenous	Circovirus	Circovirus	PCV	Rep
Mononegavirales	Exogenous	Filovirus	Ebolavirus	EBOV	GP
Mononegavirales	Exogenous	Filovirus	Ebolavirus	EBOV	L
Mononegavirales	Exogenous	Filovirus	Ebolavirus	EBOV	NP
Mononegavirales	Exogenous	Filovirus	Ebolavirus	EBOV	VP24
Mononegavirales	Exogenous	Filovirus	Ebolavirus	EBOV	VP35
Mononegavirales	Exogenous	Filovirus	Ebolavirus	EBOV	VP40
Mononegavirales	Exogenous	Filovirus	Marburgvirus	MARV	GP
Mononegavirales	Exogenous	Filovirus	Marburgvirus	MARV	L
Mononegavirales	Exogenous	Filovirus	Marburgvirus	MARV	NP
Mononegavirales	Exogenous	Filovirus	Marburgvirus	MARV	VP24
Mononegavirales	Exogenous	Filovirus	Marburgvirus	MARV	VP40
ssDNA	Exogenous	Parvovirus	Amdovirus	AMDV	NS
ssDNA	Exogenous	Parvovirus	Amdovirus	AMDV	VP
ssDNA	Exogenous	Parvovirus	Dependovirus	AAV2	NS
ssDNA	Exogenous	Parvovirus	Dependovirus	AAV4	NS
ssDNA	Exogenous	Parvovirus	Dependovirus	Avian_AAV	NS
ssDNA	Exogenous	Parvovirus	Dependovirus	Avian_AAV	VP
ssDNA	Exogenous	Parvovirus	Dependovirus	Bovine_AAV	NS
ssDNA	Exogenous	Parvovirus	Dependovirus	Bovine_AAV	VP
ssDNA	Exogenous	Parvovirus	Dependovirus	Caprine_AAV	NS
ssDNA	Exogenous	Parvovirus	Dependovirus	Caprine_AAV	VP
ssDNA	Exogenous	Parvovirus	Dependovirus	Snake_AAV	NS
ssDNA	Exogenous	Parvovirus	Dependovirus	Snake_AAV	VP
ssDNA	Exogenous	Parvovirus	Protoparvovirus	Canine_CPV	NS
ssDNA	Exogenous	Parvovirus	Protoparvovirus	Canine_CPV	VP
ssDNA	Exogenous	Parvovirus	Protoparvovirus	Feline_FPV	NS
ssDNA	Exogenous	Parvovirus	Protoparvovirus	Feline_FPV	VP
ssDNA	Exogenous	Parvovirus	Protoparvovirus	Kilham_rat_PV	NS
ssDNA	Exogenous	Parvovirus	Protoparvovirus	Kilham_rat_PV	VP
ssDNA	Exogenous	Parvovirus	Protoparvovirus	MMV	NS
ssDNA	Exogenous	Parvovirus	Protoparvovirus	MMV	VP
ssDNA	Exogenous	Parvovirus	Protoparvovirus	RMV	NS
ssDNA	Exogenous	Parvovirus	Protoparvovirus	RMV	VP
ssDNA	Exogenous	Parvovirus	Protoparvovirus	MDPVA	VP
ssDNA	Endogenous	Parvovirus	Dependovirus	EPV_Dependovirus_1_Macropus	NS
ssDNA	Endogenous	Parvovirus	Dependovirus	EPV_Dependovirus_1_Macropus	VP
Mononegavirales	Endogenous	Bornavirus	Bornavirus	EBV_Bornavirus_1_Human	N
Mononegavirales	Endogenous	Bornavirus	Bornavirus	EBV_Bornavirus_2_Human	N
Mononegavirales	Endogenous	Bornavirus	Bornavirus	EBV_Bornavirus_3_Human	N
Mononegavirales	Endogenous	Bornavirus	Bornavirus	EBV_Bornavirus_4_Human	N
Mononegavirales	Endogenous	Filovirus	UC_Filovirus	EFV_UC_Filovirus_1_Myotis_davidii	NP
Mononegavirales	Endogenous	Filovirus	UC_Filovirus	EFV_UC_Filovirus_1_Myotis_brandtii	NP
Mononegavirales	Endogenous	Filovirus	UC_Filovirus	EFV_UC_Filovirus_1_Myotis_lucifugus	NP
Mononegavirales	Endogenous	Filovirus	UC_Filovirus	EFV_UC_Filovirus_1_Eptesicus_fuscus	NP
